Designator,Mid X,Mid Y,Layer,Rotation
C1,45.72,12.70,Top,270.0
C2,31.75,22.86,Top,270.0
C3,43.18,27.94,Top,180.0
C4, 1.78,13.34,Top,270.0
C5, 3.68,29.59,Top,180.0
C6,17.78,29.59,Top,180.0
C7, 3.68,23.24,Top,180.0
C8,17.65,23.24,Top,180.0
D1,11.43,36.83,Top,0.0
D2,11.43,33.02,Top,0.0
D3,11.94,27.18,Top,0.0
D4,11.94,22.48,Top,0.0
D5,11.94,17.78,Top,0.0
IC1,33.02,13.97,Top,0.0
IC2,41.91,24.13,Top,270.0
IC3,26.67,24.13,Top,270.0
IC4, 3.81,20.32,Top,270.0
IC5, 3.81,26.67,Top,270.0
IC6,17.78,20.32,Top,270.0
IC7,17.78,26.67,Top,270.0
R1, 5.08,38.10,Top,180.0
R2, 5.08,35.56,Top,180.0
R3, 5.08,33.02,Top,180.0
U$1, 0.00, 0.00,Top,0.0
U$2,11.68,11.68,Top,0.0
U$3,31.75,38.10,Top,0.0
