Index,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1
1,,2,2,Tray,670-1385-ND,1.64000,$3.28,1
2,,2,2,Tray,670-1446-ND,1.81000,$3.62,1
3,,2,2,Tray,609-5183-ND,1.21000,$2.42,1
4,,2,2,Tube,296-38386-5-ND,1.60000,$3.20,1
5,,8,8,Tube,296-8246-5-ND,0.92000,$7.36,1
6,,1,1,Tube,296-32951-5-ND,0.85000,$0.85,1
7,,2,2,Tube,296-2143-5-ND,0.77000,$1.54,1
8,,13,13,Tube,296-4613-5-ND,0.70000,$9.10,1
9,,1,1,Tube,296-14878-5-ND,0.84000,$0.84,1
10,,6,6,Tube,296-1625-5-ND,0.60000,$3.60,1
11,,2,2,Tube,296-12822-5-ND,0.82000,$1.64,1
12,,1,1,Tube,296-33023-5-ND,0.78000,$0.78,1
13,,11,11,Tube,296-8285-5-ND,0.82200,$9.04,1
14,,6,6,Tube,296-12773-5-ND,0.70000,$4.20,1
15,,7,7,Tube,296-12769-5-ND,0.73000,$5.11,1
16,,5,5,Tube,296-12772-5-ND,0.68000,$3.40,1
17,,2,2,Tube,296-2111-5-ND,0.42000,$0.84,1
18,,3,3,Tube,296-4318-5-ND,0.67000,$2.01,1
19,,1,1,Tube,296-2155-5-ND,3.63000,$3.63,1
20,,3,3,Tube,296-9200-5-ND,1.85000,$5.55,1
21,,1,1,Bulk,2-5530843-7-ND,3.15000,$3.15,1
22,,1,1,Tube,800-3674-ND,3.92000,$3.92,1
23,,97,97,Cut Tape (CT),399-14010-1-ND,0.08640,$8.38,1
24,,11,11,Cut Tape (CT),S3.3KHCT-ND,0.06700,$0.74,1
25,,4,4,Cut Tape (CT),S150HCT-ND,0.10000,$0.40,1
26,,4,4,Cut Tape (CT),732-8911-1-ND,0.14000,$0.56,1
27,,2,2,Tube,296-8244-5-ND,0.73000,$1.46,1
28,,1,1,Tube,296-12788-5-ND,0.78000,$0.78,1
29,,1,1,Tube,296-26009-5-ND,1.04000,$1.04,1
30,,1,1,Tube,296-25973-5-ND,0.78000,$0.78,1
31,,1,1,Tube,296-1868-5-ND,4.81000,$4.81,1
32,,1,1,Bag,CP-1403-ND,0.95000,$0.95,1
33,,1,1,Bag,CP-1402-ND,0.95000,$0.95,1
34,,14,14,Cut Tape (CT),S1KHCT-ND,0.06700,$0.94,1
35,,1,1,Cut Tape (CT),S470HCT-ND,0.10000,$0.10,1
36,,1,1,Cut Tape (CT),BC3919CT-ND,0.26000,$0.26,1
37,,1,1,Cut Tape (CT),CF18JT16K0CT-ND,0.10000,$0.10,1
38,,1,1,Bulk,68KEBK-ND,0.10000,$0.10,1
39,,1,1,Cut Tape (CT),445-180988-1-ND,0.31000,$0.31,1
40,,1,1,Bulk,399-14085-ND,0.29000,$0.29,1
41,,1,1,Bulk,399-4249-ND,0.37000,$0.37,1
42,,1,1,Bulk,399-14031-ND,0.40000,$0.40,1
43,,1,1,Tube,2057-ICS-308-T-ND,0.18000,$0.18,1
44,,33,33,Tube,2057-ICS-314-T-ND,0.15700,$5.18,1
45,,34,34,Tube,AE9992-ND,0.22433,$7.63,1
46,,17,17,Tube,2057-ICS-320-T-ND,0.23000,$3.91,1
47,,1,1,Tube,ED3050-5-ND,0.37000,$0.37,1
48,,4,4,Tube,296-25993-5-ND,0.78000,$3.12,1
49,,1,1,Tube,296-27904-5-ND,0.42000,$0.42,1
50,,1,1,Bulk,EG2543-ND,6.88000,$6.88,1
51,,1,1,Bulk,EG4671-ND,6.64000,$6.64,1
52,,1,1,Tube,1450-1027-ND,6.40000,$6.40,1
53,,1,1,Cut Tape (CT),495-6805-1-ND,0.81000,$0.81,1
54,,1,1,Tube,LM2575TV-5GOS-ND,2.46000,$2.46,1
55,,1,1,Cut Tape (CT),497-6610-1-ND,0.41000,$0.41,1
56,,1,1,Bag,2092-KLDX-0202-AC-ND,0.73000,$0.73,1
57,,1,1,Cut Tape (CT),732-8630-1-ND,0.13000,$0.13,1
58,,1,1,Cut Tape (CT),732-8635-1-ND,0.26000,$0.26,1
59,,1,1,Cut Tape (CT),296-41661-1-ND,0.60000,$0.60,1
60,,1,1,Tube,2057-ICS-632-T-ND,0.34000,$0.34,1
61,,1,1,Tray,S7039-ND,0.53000,$0.53,1
62,,1,1,Bag,900-2177971022-ND,1.79000,$1.79,1
63,,2,2,Bag,900-2177971021-ND,1.58000,$3.16,1
64,,3,3,Bulk,900-0022232021-ND,0.21000,$0.63,1
